bus;frequency;operator;osm_name;ref;carrier;v_nom;voltage;wkt_srid_4326;x;y;;;;
148;50;RWE;Stadtwerke_Duesseldorf;Station_Eller;substation;220.0;220000;110000;SRID=4326;POINT(6.84699931064759_51.2055917698058);684.699.931.065;512.055.917.698;;
149;;RWE;Station_Siegburg;;substation;220.0;220000;110000;SRID=4326;POINT(7.19316578267403_50.798335064694);719.316.578.267;507.983.350.647;;
150;50;RWE;Station_Gremberghoven;;substation;220.0;220000;110000;SRID=4326;POINT(7.0473845241055_50.9055286094924);704.738.452.411;509.055.286.095;;
151;;Amprion;Station_Gohrpunkt;;substation;220.0;220000;110000;SRID=4326;POINT(6.70967369516713_51.0909407427733);670.967.369.517;510.909.407.428;;
152;50;RWE;Station_Meckenheim;;substation;220.0;220000;110000;SRID=4326;POINT(7.01293742640329_50.6176584938251);70.129.374.264;506.176.584.938;;
153;50;RWE;Station_Duelken;;substation;220.0;380000;220000;SRID=4326;POINT(6.33006858948983_51.2429161503794);633.006.858.949;512.429.161.504;;
154;50;;Station_Duennwald;;substation;220.0;220000;;SRID=4326;POINT(7.0235444991641_50.999068409611);702.354.449.916;509.990.684.096;;
155;50;Amprion;Umspannwerk_Bixterheide;;substation;220.0;220000;110000;SRID=4326;POINT(7.72438401522458_51.4093341305984);772.438.401.522;514.093.341.306;;
156;;;Kraftwerkschaltanlage_Knapsack_1;;substation;380.0;380000;220000;SRID=4326;POINT(6.84223115147656_50.8598647243573);684.223.115.148;508.598.647.244;;
157;50;Amprion;Station_Guetersloh;;substation;380.0;380000;220000;SRID=4326;POINT(8.364229530696_51.9271204904611);83.642.295.307;519.271.204.905;;
158;50;RWE;Station_Hambach;;substation;380.0;380000;;SRID=4326;POINT(6.48812326381716_50.8810703125704);648.812.326.382;508.810.703.126;;
159;50;TenneT;Conneforde;CONN;substation;380.0;380000;220000;SRID=4326;POINT(8.05408735442182_53.3323026933898);805.408.735.442;533.323.026.934;;
160;50;EON_Netz;Kernkraftwerk_Unterweser;;substation;380.0;380000;220000;SRID=4326;POINT(8.47791063608626_53.428485468955);847.791.063.609;53.428.485.469;;
161;50;TenneT;EON_NetzConneforde_110/220_kVCONN;;substation;220.0;220000;110000;SRID=4326;POINT(8.05283751634017_53.3338809598955);805.283.751.634;533.338.809.599;;
162;50;;Bocklemuend;;substation;220.0;220000;110000;SRID=4326;POINT(6.85153113794826_50.9841704680083);685.153.113.795;50.984.170.468;;
163;50;Amprion;Station_Paffendorf;;substation;380.0;380000;110000;SRID=4326;POINT(6.59601979462215_50.9525274624278);659.601.979.462;509.525.274.624;;
164;50;16.7;E.ONSchaltanlage_Datteln_4;;substation;380.0;380000;110000;SRID=4326;POINT(7.33861258614081_51.6319781250427);733.861.258.614;51.631.978.125;;
165;50;Amprion;Station_Gersteinwerk;;substation;380.0;380000;220000;SRID=4326;POINT(7.70831848872651_51.6762033088437);770.831.848.873;516.762.033.088;;
166;;RWE;_evonikKraftwerk_Bergkamen;;generator;380.0;;;SRID=4326;POINT(7.61702099509812_51.6371337640588);76.170.209.951;516.371.337.641;;
167;50;Ampirion;Station_Wambel;;substation;220.0;220000;110000;SRID=4326;POINT(7.52228010104186_51.5321980552231);752.228.010.104;515.321.980.552;;
